Time,CURRENT,mA
7907,CURRENT,653,0
7909,CURRENT,715,0
7912,CURRENT,808,0
7915,CURRENT,805,0
7917,CURRENT,876,0
7920,CURRENT,738,0
7923,CURRENT,881,0
7925,CURRENT,768,0
7928,CURRENT,726,0
7931,CURRENT,751,0
7933,CURRENT,746,0
7937,CURRENT,799,0
7939,CURRENT,819,0
7942,CURRENT,808,0
7945,CURRENT,833,0
7947,CURRENT,733,0
7950,CURRENT,890,0
7953,CURRENT,720,0
7955,CURRENT,752,0
7958,CURRENT,709,0
7961,CURRENT,832,0
7963,CURRENT,731,0
7966,CURRENT,865,0
7969,CURRENT,732,0
7971,CURRENT,714,0
7974,CURRENT,831,0
7977,CURRENT,843,0
7980,CURRENT,948,0
7983,CURRENT,879,0
7986,CURRENT,705,0
7988,CURRENT,795,0
7991,CURRENT,865,0
7994,CURRENT,858,0
7996,CURRENT,877,0
7999,CURRENT,872,0
8002,CURRENT,744,0
8004,CURRENT,834,0
8007,CURRENT,778,0
8010,CURRENT,895,0
8012,CURRENT,766,0
8015,CURRENT,613,0
8018,CURRENT,862,0
8020,CURRENT,906,0
8024,CURRENT,862,0
8026,CURRENT,794,0
8029,CURRENT,803,0
8032,CURRENT,908,0
8034,CURRENT,796,0
8037,CURRENT,890,0
8040,CURRENT,906,0
8042,CURRENT,835,0
8045,CURRENT,803,0
8048,CURRENT,797,0
8050,CURRENT,871,0
8053,CURRENT,795,0
8056,CURRENT,646,0
8058,CURRENT,896,0
8061,CURRENT,840,0
8065,CURRENT,900,0
8067,CURRENT,785,0
8070,CURRENT,854,0
8073,CURRENT,807,0
8075,CURRENT,848,0
8078,CURRENT,787,0
8081,CURRENT,809,0
8083,CURRENT,680,0
8086,CURRENT,767,0
8089,CURRENT,871,0
8091,CURRENT,905,0
8094,CURRENT,839,0
8097,CURRENT,809,0
8099,CURRENT,744,0
8102,CURRENT,872,0
8105,CURRENT,862,0
8108,CURRENT,760,0
8111,CURRENT,821,0
8113,CURRENT,755,0
8116,CURRENT,832,0
8119,CURRENT,802,0
8121,CURRENT,849,0
8124,CURRENT,656,0
8127,CURRENT,827,0
8129,CURRENT,833,0
8132,CURRENT,861,0
8135,CURRENT,863,0
8137,CURRENT,944,0
8140,CURRENT,857,0
8143,CURRENT,733,0
8145,CURRENT,817,0
8148,CURRENT,910,0
8152,CURRENT,739,0
8154,CURRENT,755,0
8157,CURRENT,848,0
8160,CURRENT,855,0
8162,CURRENT,830,0
8165,CURRENT,824,0
8168,CURRENT,791,0
8170,CURRENT,908,0
8173,CURRENT,824,0
8176,CURRENT,869,0
8178,CURRENT,815,0
8181,CURRENT,840,0
8184,CURRENT,959,0
8186,CURRENT,907,0
8189,CURRENT,773,0
8193,CURRENT,910,0
8195,CURRENT,872,0
8198,CURRENT,800,0
8200,CURRENT,847,0
8203,CURRENT,849,0
8206,CURRENT,961,0
8208,CURRENT,825,0
8211,CURRENT,851,0
8214,CURRENT,857,0
8216,CURRENT,912,0
8219,CURRENT,919,0
8222,CURRENT,643,0
8224,CURRENT,949,0
8227,CURRENT,898,0
8230,CURRENT,928,0
8232,CURRENT,896,0
8236,CURRENT,963,0
8239,CURRENT,704,0
8241,CURRENT,902,0
8244,CURRENT,867,0
8247,CURRENT,760,0
8249,CURRENT,894,0
8252,CURRENT,739,0
8255,CURRENT,892,0
8257,CURRENT,869,0
8260,CURRENT,850,0
8263,CURRENT,889,0
8265,CURRENT,867,0
8268,CURRENT,889,0
8271,CURRENT,673,0
8273,CURRENT,900,0
8276,CURRENT,920,0
8280,CURRENT,874,0
8282,CURRENT,907,0
8285,CURRENT,933,0
8287,CURRENT,953,0
8290,CURRENT,839,0
8293,CURRENT,863,0
8295,CURRENT,857,0
8298,CURRENT,909,0
8301,CURRENT,826,0
8303,CURRENT,820,0
8306,CURRENT,943,0
8309,CURRENT,938,0
8311,CURRENT,889,0
8314,CURRENT,961,0
8317,CURRENT,929,0
8320,CURRENT,877,0
8323,CURRENT,951,0
8326,CURRENT,877,0
8328,CURRENT,1006,0
8331,CURRENT,902,0
8334,CURRENT,863,0
8336,CURRENT,858,0
8339,CURRENT,911,0
8342,CURRENT,883,0
8344,CURRENT,913,0
8347,CURRENT,923,0
8350,CURRENT,954,0
8352,CURRENT,831,0
8355,CURRENT,928,0
8358,CURRENT,719,0
8360,CURRENT,935,0
8364,CURRENT,823,0
8367,CURRENT,820,0
8369,CURRENT,889,0
