Time,CURRENT,mA
18252,CURRENT,50,1
18255,CURRENT,50,1
18257,CURRENT,49,1
18260,CURRENT,49,1
18264,CURRENT,51,1
18266,CURRENT,51,1
18269,CURRENT,50,1
18271,CURRENT,50,1
18274,CURRENT,51,1
18276,CURRENT,50,1
18279,CURRENT,49,1
18282,CURRENT,51,1
18284,CURRENT,51,1
18287,CURRENT,49,1
18289,CURRENT,49,1
18292,CURRENT,51,1
18294,CURRENT,50,1
18297,CURRENT,49,1
18300,CURRENT,50,1
18302,CURRENT,51,1
18306,CURRENT,50,1
18308,CURRENT,49,1
18311,CURRENT,50,1
18313,CURRENT,51,1
18316,CURRENT,50,1
18319,CURRENT,49,1
18321,CURRENT,51,1
18324,CURRENT,51,1
18326,CURRENT,49,1
18329,CURRENT,50,1
18331,CURRENT,51,1
18334,CURRENT,50,1
18337,CURRENT,49,1
18339,CURRENT,50,1
18342,CURRENT,51,1
18344,CURRENT,50,1
18348,CURRENT,49,1
18350,CURRENT,51,1
18353,CURRENT,51,1
18356,CURRENT,9,1
18358,CURRENT,9,1
18361,CURRENT,9,1
18363,CURRENT,9,1
18366,CURRENT,9,1
79267,CURRENT,587,2
79270,CURRENT,67,2
79271,CURRENT,42,2
79273,CURRENT,14,2
79275,CURRENT,7,2
79277,CURRENT,5,2
79280,CURRENT,5,2
79282,CURRENT,5,2
79285,CURRENT,4,2
79287,CURRENT,4,2
79290,CURRENT,5,2
79292,CURRENT,5,2
79295,CURRENT,3,2
79297,CURRENT,4,2
79300,CURRENT,5,2
79302,CURRENT,4,2
79305,CURRENT,3,2
79307,CURRENT,4,2
79310,CURRENT,5,2
79312,CURRENT,4,2
79315,CURRENT,3,2
79318,CURRENT,4,2
79321,CURRENT,5,2
79323,CURRENT,4,2
79326,CURRENT,3,2
79328,CURRENT,4,2
79331,CURRENT,4,2
79333,CURRENT,4,2
79335,CURRENT,4,2
79338,CURRENT,5,2
79340,CURRENT,4,2
79343,CURRENT,3,2
79345,CURRENT,4,2
79348,CURRENT,6,2
79350,CURRENT,5,2
79353,CURRENT,4,2
79355,CURRENT,5,2
79358,CURRENT,6,2
79361,CURRENT,4,2
79364,CURRENT,4,2
79366,CURRENT,5,2
79369,CURRENT,5,2
79371,CURRENT,5,2
79374,CURRENT,4,2
79376,CURRENT,5,2
79379,CURRENT,5,2
79381,CURRENT,4,2
79384,CURRENT,4,2
79386,CURRENT,6,2
79389,CURRENT,5,2
79391,CURRENT,4,2
79394,CURRENT,4,2
79396,CURRENT,5,2
79399,CURRENT,5,2
79401,CURRENT,4,2
79405,CURRENT,5,2
79407,CURRENT,9,2
79410,CURRENT,9,2
79412,CURRENT,9,2
79415,CURRENT,9,2
79417,CURRENT,9,2
79420,CURRENT,9,2
79422,CURRENT,9,2
79425,CURRENT,10,2
79427,CURRENT,9,2
79430,CURRENT,9,2
79432,CURRENT,9,2
79435,CURRENT,9,2
79437,CURRENT,9,2
79440,CURRENT,9,2
79442,CURRENT,9,2
79446,CURRENT,9,2
79448,CURRENT,9,2
79451,CURRENT,9,2
79453,CURRENT,9,2
79456,CURRENT,9,2
79458,CURRENT,9,2
79461,CURRENT,9,2
79463,CURRENT,9,2
79466,CURRENT,983,2
79468,CURRENT,889,2
79471,CURRENT,927,2
79474,CURRENT,422,2
79476,CURRENT,1027,2
79479,CURRENT,939,2
79482,CURRENT,646,2
79484,CURRENT,838,2
79488,CURRENT,907,2
79491,CURRENT,737,2
79493,CURRENT,913,2
79496,CURRENT,666,2
79499,CURRENT,796,2
79501,CURRENT,830,2
79504,CURRENT,699,2
79507,CURRENT,683,2
79509,CURRENT,804,2
79512,CURRENT,576,2
